id,url,name,username,created_at,description,favourites_count,followers_count,listed_count,media_count,profile_image_url,profile_banner_url,statuses_count,verified,is_blue_verified,entities,can_dm,can_media_tag,location,pinned_tweet_ids,top_tweet_count
-2147483648,https://x.com/cryptosanthoshK,Crypto King👑💎.eth.sol,cryptosanthoshK,Mon Jul 04 19:42:57 +0000 2022,"Crypto & Defi Analyst | Angel investor  | KOL |  

owner: Cks call & pumpfun cabal | 

🐐 of 🐐's | DMs open 🙌",11238,119006,262,9070,https://pbs.twimg.com/profile_images/1823356685164924928/byQTCDY2_normal.jpg,https://pbs.twimg.com/profile_banners/1544044068413521922/1726515625,38007.0,False,True,"{'description': {'urls': []}, 'url': {'urls': [{'display_url': 't.me/onlycryptoking0', 'expanded_url': 'https://t.me/onlycryptoking0', 'url': 'https://t.co/OL43U7wDgE', 'indices': [0, 23]}]}}",True,False,,['1764599898777825530'],5904
423164349,https://x.com/rasmr_eth,rasmr,rasmr_eth,Mon Nov 28 05:01:47 +0000 2011,blockchain research // streamer @probablynothing // trade & snipe on nova: https://t.co/ckLCtXvTNX,33586,97262,1123,1457,https://pbs.twimg.com/profile_images/1831904183001247744/ALdr5oD1_normal.jpg,https://pbs.twimg.com/profile_banners/423164349/1725594720,12147.0,False,True,"{'description': {'urls': [{'display_url': 't.me/TradeonNovaBot…', 'expanded_url': 'https://t.me/TradeonNovaBot?start=r-rasmrnova', 'url': 'https://t.co/ckLCtXvTNX', 'indices': [75, 98]}]}, 'url': {'urls': [{'display_url': 'twitch.tv/rasmrr', 'expanded_url': 'https://www.twitch.tv/rasmrr', 'url': 'https://t.co/KHeRb3YarC', 'indices': [0, 23]}]}}",True,False,,['1881783379953377436'],4
48670183,https://x.com/propelforward,Drew Hinkes,propelforward,Fri Jun 19 10:31:43 +0000 2009,@winstonlaw |AdjunctProfessor @NYUStern / @NYUlaw /@fsulaw |No legal/financial advice |#crypto |#Miami |#Phish | all views are my views | all errors are mine.,38046,11992,459,2183,https://pbs.twimg.com/profile_images/1507169041970077704/dXkvPOpY_normal.jpg,https://pbs.twimg.com/profile_banners/48670183/1508353505,19800.0,False,False,"{'description': {'urls': []}, 'url': {'urls': [{'display_url': '💻➕⚖.y.at', 'expanded_url': 'https://xn--u7h78ar181i.y.at', 'url': 'https://t.co/B6MemaQUNz', 'indices': [0, 23]}]}}",True,False,,['1220340676245757953'],1
304220895,https://x.com/EverythingAjay,Ajay Kashyap,EverythingAjay,Tue May 24 04:16:04 +0000 2011,Master Crypto with Me | 340K+ YouTube Family 💡 | Stay Ahead via Telegram: https://t.co/KRIW2DLrdI | Let’s Decode Web3 Together!,27724,72669,69,11165,https://pbs.twimg.com/profile_images/1588103016645001217/SDiBm5Dw_normal.jpg,https://pbs.twimg.com/profile_banners/304220895/1663228687,18040.0,False,True,"{'description': {'urls': [{'display_url': 't.me/everythingajay', 'expanded_url': 'http://t.me/everythingajay', 'url': 'https://t.co/KRIW2DLrdI', 'indices': [74, 97]}]}, 'url': {'urls': [{'display_url': 'youtube.com/@everythinghin…', 'expanded_url': 'https://youtube.com/@everythinghindi', 'url': 'https://t.co/rBrwFoGN60', 'indices': [0, 23]}]}}",True,False,India,[],5
14821025,https://x.com/aarnott,Andrew Arnott 🛡️,aarnott,Sun May 18 14:30:13 +0000 2008,"Principal Software Engineer. This is not my employer's account. I have a wonderful family and faith in a real, bona-fide Heavenly Father. Will work for Zcash.",2166,1480,59,221,https://pbs.twimg.com/profile_images/1605220480117780481/AF-f6j5h_normal.jpg,https://pbs.twimg.com/profile_banners/14821025/1671549361,7220.0,False,True,"{'description': {'urls': []}, 'url': {'urls': [{'display_url': 'blog.nerdbank.net', 'expanded_url': 'https://blog.nerdbank.net', 'url': 'https://t.co/FDxoOtNF7f', 'indices': [0, 23]}]}}",False,True,"Longmont, CO",[],1
1800445627,https://x.com/presidentpush,Presidentpush,presidentpush,Sun Sep 08 04:18:37 +0000 2013,"Founder of @presidentalpha_ 🇦🇺 🇮🇳        
Data Research for @lukebelmar @gemhuntersco                               
 @solsniperxyz Ambassador",49951,15914,83,3766,https://pbs.twimg.com/profile_images/1813025646823739392/2IyD_MuI_normal.jpg,https://pbs.twimg.com/profile_banners/1800445627/1705490371,31061.0,False,True,"{'description': {'urls': []}, 'url': {'urls': [{'display_url': 't.me/presidential_a…', 'expanded_url': 'https://t.me/presidential_alpha', 'url': 'https://t.co/MtJPQnCEB4', 'indices': [0, 23]}]}}",True,True,Call Channel - ,['1683998100481007621'],1
597624963,https://x.com/PotGems,PotGems Crypto,PotGems,Sat Jun 02 16:23:47 +0000 2012,"A #Crypto Enthusiast since AD🔥| Running a successful project is no day job | We keep Building @heurist_ai regardless, HOLD $HEU 🚀•",10316,21912,4,585,https://pbs.twimg.com/profile_images/1844065742037106691/fX3Uydy-_normal.jpg,https://pbs.twimg.com/profile_banners/597624963/1736881014,6862.0,False,True,"{'description': {'urls': []}, 'url': {'urls': [{'display_url': 't.me/TheAmbassadors…', 'expanded_url': 'https://t.me/TheAmbassadorsHub', 'url': 'https://t.co/Z4iETMhBYx', 'indices': [0, 23]}]}}",True,True,Heurist,['1842675461458911551'],2
552936387,https://x.com/DamiDefi,Dami-Defi,DamiDefi,Fri Apr 13 17:04:05 +0000 2012,Strategic investor || Follow for early crypto tips and strategies || Not financial advice.,9453,93046,1337,4528,https://pbs.twimg.com/profile_images/1833982252272795649/YdQvXW46_normal.jpg,https://pbs.twimg.com/profile_banners/552936387/1729344567,17178.0,False,True,"{'description': {'urls': []}, 'url': {'urls': [{'display_url': 't.me/DamiDefiinsider', 'expanded_url': 'https://t.me/DamiDefiinsider', 'url': 'https://t.co/ETauvlplbe', 'indices': [0, 23]}]}}",True,True,Join for Private Alpha ➤,['1883145942028914780'],22
412587524,https://x.com/MessariCrypto,Messari,MessariCrypto,Mon Nov 14 22:25:13 +0000 2011,Messari is the leading provider of crypto market intelligence products that help professionals navigate crypto with confidence.,18870,408306,7072,8626,https://pbs.twimg.com/profile_images/1879266423010181120/ko4sS0ZR_normal.jpg,https://pbs.twimg.com/profile_banners/412587524/1734342740,30753.0,False,True,"{'description': {'urls': []}, 'url': {'urls': [{'display_url': 'linktr.ee/MessariCrypto', 'expanded_url': 'https://linktr.ee/MessariCrypto', 'url': 'https://t.co/ziTRuMr0Gx', 'indices': [0, 23]}]}}",True,True,Onchain,['1885372708286062940'],6
323507751,https://x.com/whiz_def,Lopez 𝕏,whiz_def,Fri Jun 24 23:22:44 +0000 2011,CM || Amb/Kol || crypto trader || Space host // #amb @ar_io_network @mantanetwork @Octa_swap @whitebit,178,10174,1,195,https://pbs.twimg.com/profile_images/1874121580877328384/npHVZIfk_normal.jpg,https://pbs.twimg.com/profile_banners/323507751/1735752790,473.0,False,False,{'description': {'urls': []}},True,True,,[],8
